Job Title,Company Name,Preferred Qualifications,Link to Job
Software Engineer (DSC/TE/12520),ST Engineering,"&lt;/p&gt;&lt;p&gt;&lt;/p&gt;Degree in EEE/Computer Science/Computer Engineering or equivalentMinimum 1 year of technical experience in software developmentProficiency in C, C++, C# or JavaKnowledge of digital communications, Microsoft .NET, Scripting languagesKnowledge of professional software engineering and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsKnowledge of Communication Stack Layer and various communication protocols like SNMP, TCP/IP, UDPKnowledge of Firmware development will be an added advantageLocation: Ang Mo KioSingaporean only",https://sg.linkedin.com/jobs/view/software-engineer-dsc-te-12520-at-st-engineering-3726962463?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=r4EmgSQCCytSfwfyWXdYTA%3D%3D&position=18&pageNum=16&trk=public_jobs_jserp-result_search-card
"Senior Assistant Manager (Data Scientist), AIO Innovation Office",National University Health System,"and data by working and coordinating with clinicians and other relevant internal and external stakeholders  Work with the team to develop and deploy necessary AI models for NUHS in hybrid cloud environment  Document clearly explaining how the algorithms have been implemented, verified and validated  Lead project to deliver AI related research and development requirement to meet the business need",https://sg.linkedin.com/jobs/view/senior-assistant-manager-data-scientist-aio-innovation-office-at-national-university-health-system-3693846162?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=0yAzlHCaWdjqw3wTOsibvQ%3D%3D&position=19&pageNum=16&trk=public_jobs_jserp-result_search-card
Research Engineer,Big Cloud,"&lt;p&gt;&lt;/p&gt;3+ years of industry experience building 3D SLAM/robotics algorithms.Familiarity with Computer Vision in both Classical and recent Learning-based approaches.Masters/PhD in a relevant field.Good mathematical and data-handling skills.Experience with Python/C++.Added bonus: publication record at any top conferences.&lt;p&gt;&lt;/p&gt;&lt;em&gt; Big Cloud is a data science, machine learning and AI recruiting firm. We’re lucky enough to recruit the best candidates into the most exciting companies all over the world. We try to reply to all unsuccessful applications, but we’re only human (for now)! &lt;/em&gt;&lt;p&gt;&lt;/p&gt;&lt;em&gt;In the meantime, check out our jobs page to see what else we’re recruiting for.&lt;/em&gt;",https://sg.linkedin.com/jobs/view/research-engineer-at-big-cloud-3688199669?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=60wvc6URCbELM5UIwgX0ew%3D%3D&position=20&pageNum=16&trk=public_jobs_jserp-result_search-card
Frontend Developer - Training Provided!,GECO Asia Pte Ltd,"below, then you are the person we are looking for. Apply now!&lt;p&gt;&lt;/p&gt;Job",https://sg.linkedin.com/jobs/view/frontend-developer-training-provided%21-at-geco-asia-pte-ltd-3690470353?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=hL28ZaxzfZh2GfvbBLl1xQ%3D%3D&position=21&pageNum=16&trk=public_jobs_jserp-result_search-card
"Scientist in Computer Vision for human action understanding, IHPC","A*STAR - Agency for Science, Technology and Research",": &lt;p&gt;&lt;/p&gt; PhD degree in Computer Vision or Machine Learning (or related discipline) with a strong record of accomplishment in CVPR, ECCV, ICCV, NIPS, ICML, ICLR, AAAI, IJCAI or journal papers in IEEE TPAMI, IJCV, JMLR, Pattern Recognition, IEEE TIP and related. PhDs with a record of accomplishment of the above-mentioned are encouraged to apply.  Strong programming skills in python (Pytorch, Tensorflow).  Excellent computer vision and machine learning skills are required.  Excellent problem solving skills.",https://sg.linkedin.com/jobs/view/scientist-in-computer-vision-for-human-action-understanding-ihpc-at-a-star-agency-for-science-technology-and-research-3730079871?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=q%2B4fDbmVCXn2YFxlTvD9pw%3D%3D&position=22&pageNum=16&trk=public_jobs_jserp-result_search-card
"Senior Assistant Manager (Data Scientist), AIO Innovation Office",National University Health System,"and data by working and coordinating with clinicians and other relevant internal and external stakeholders  Work with the team to develop and deploy necessary AI models for NUHS in hybrid cloud environment  Document clearly explaining how the algorithms have been implemented, verified and validated  Lead project to deliver AI related research and development requirement to meet the business need &lt;p&gt;&lt;/p&gt;",https://sg.linkedin.com/jobs/view/senior-assistant-manager-data-scientist-aio-innovation-office-at-national-university-health-system-3693842424?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=oD2VdGXyXlauBDZm%2BbNHLA%3D%3D&position=23&pageNum=16&trk=public_jobs_jserp-result_search-card
"(Senior) Research Specialist, Translational Social Research Division (Data Science)",National Council of Social Service (NCSS),"and methodologies to be considered.Producing the research by using statistical software and preparing reports and publications for various platforms. Engaging stakeholders on research findings so as to achieve translational impact.&lt;p&gt;&lt;/p&gt;&lt;p&gt;The officer will be expected to be proficient in quantitative data analysis, such that he or she can contribute both as team member and as an independent researcher.&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;&lt;u&gt;Personal Competencies:&lt;/u&gt;&lt;/p&gt;Open-minded, flexible and creativeProactive and self-drivenAnalytical and critical Team player Good communicator&lt;p&gt;&lt;/p&gt;&lt;p&gt;&lt;u&gt;Skills &amp;amp; Knowledge:&lt;/u&gt;&lt;/p&gt;Proficient in the use of one or more statistical software (e.g., R, Python, Stata etc).Theoretical understanding of quantitative methods used within his/her field, be in it psychometrics, econometrics, or statistics etc. Project management and organisational skills.&lt;p&gt;&lt;/p&gt;&lt;p&gt;&lt;u&gt;Experience:&lt;/u&gt;&lt;/p&gt;At least 5 years’ work experience, preferably with experience in Social Services or organisation health domain.",https://sg.linkedin.com/jobs/view/senior-research-specialist-translational-social-research-division-data-science-at-national-council-of-social-service-ncss-3742535375?refId=G%2FA7BDiWoA0WH%2BetX043Aw%3D%3D&trackingId=KIaaLev1gZsmEuTcLzVUbg%3D%3D&position=24&pageNum=16&trk=public_jobs_jserp-result_search-card
Cryptography Engineer/密码学工程师,Dada Consultants,":&lt;/p&gt;&lt;ol&gt;Degree or above.Solid foundation in security theory.Proficiency in cryptographic theories such as zero-knowledge proofs, secure multi-party computation, threshold signatures, ring signatures, aggregate signatures, and homomorphic encryption.Deep understanding of the principles and implementations of current mainstream zero-knowledge proof algorithms; able to use common toolkits for secondary development.Fluent English reading and writing skills.&lt;/ol&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;招聘公司为一个企业级的区块链平台，致力于为业务提供高度可扩展的区块链架构。总部位于新加坡。现公司招募密码学工程师/专家。该岗位可base在北京或者新加坡。可提供新加坡工作签证。&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;职位描述&lt;/p&gt;&lt;p&gt;1、将前沿密码学成果与区块链系统和DApp结合；&lt;/p&gt;&lt;p&gt;2、确定在区块链上实施零知识证明的技术选型和路线，在交易平台上设计并实现zkp&lt;/p&gt;&lt;p&gt;3、能够将技术成果通过文章、视频等形式输出。&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;职位要求&lt;/p&gt;&lt;p&gt;1、海外正规院校（具备教育部留学服务中心学历学位认证）/统招公办本科及以上学历；&lt;/p&gt;&lt;p&gt;2、扎实的安全理论基础；&lt;/p&gt;&lt;p&gt;3、精通零知识证明、安全多方计算、门限签名、环签名、聚合签名以及同态加密等密码学理论；&lt;/p&gt;&lt;p&gt;4、精通当前主流的零知识证明算法原理和实现，能够使用常用工具库进行二次开发；&lt;/p&gt;&lt;p&gt;5、流利的英文读写能力。&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;p&gt;www.dadaconsultants.com&lt;/p&gt;&lt;p&gt;EA Registration Number: R2090455&lt;/p&gt;&lt;p&gt;Data provided is for recruitment purposes only&lt;/p&gt;&lt;p&gt;Business Registration Number: 201735941W.&lt;/p&gt;&lt;p&gt;Licence Number: 18S9037&lt;/p&gt;",https://sg.linkedin.com/jobs/view/cryptography-engineer-%E5%AF%86%E7%A0%81%E5%AD%A6%E5%B7%A5%E7%A8%8B%E5%B8%88-at-dada-consultants-3742636035?refId=mCSPB7sTA344jmanPX6UjQ%3D%3D&trackingId=Xj9rrdkisaQcHpN3SPJJ0w%3D%3D&position=2&pageNum=18&trk=public_jobs_jserp-result_search-card
Fullstack Developer - Training Provided,GECO Asia Pte Ltd,"&lt;p&gt;&lt;/p&gt;Front-end development: HTML, CSS, ReactBackend Development: Django and GoAWS (Deployment and Hosting)Performance OptimizationSecurity Practices",https://sg.linkedin.com/jobs/view/fullstack-developer-training-provided-at-geco-asia-pte-ltd-3598169023?refId=mCSPB7sTA344jmanPX6UjQ%3D%3D&trackingId=SbUjUzG1rPNTzACXYzQN9g%3D%3D&position=4&pageNum=18&trk=public_jobs_jserp-result_search-card
R&D EDA Software Engineer (C++),Keysight Technologies,"of the job include:&lt;/p&gt;BS/MS/PhD in CS or EEHands on experience in complex C/C++/Python software development in a role such as a software architect or senior software engineer or technical project leadExpert working knowledge of C++/Python and OOP Excellent oral and verbal communication skillsExperience in geometry processing &amp;amp; simplification, EM simulation, high-frequency design, and S-parametersExperience in analysis of high-speed serial and/or DDR channelsGreat team player and willing to take on a variety of projects, customer issues, and quality fixesSolid understanding of Jenkins CI/CD development flows and impact of DevOps on architecturePassion for crafting efficient and reusable code&lt;p&gt;&lt;/p&gt;&lt;p&gt;It would be a plus if you also possess:&lt;/p&gt;Prior experience in developing EDA software toolsKnowledge of EDA tools and EDA flows",https://sg.linkedin.com/jobs/view/r-d-eda-software-engineer-c%2B%2B-at-keysight-technologies-3729373225?refId=mCSPB7sTA344jmanPX6UjQ%3D%3D&trackingId=aWFJJ9k96CWmeWnLHTYWUA%3D%3D&position=7&pageNum=18&trk=public_jobs_jserp-result_search-card
